id;title;release_dates;publisher;dev;support_dev;genres;game_modes;themes;mult_modes;game_eng;series;perspective
37;2dark;"Mar 10, 2017 - PlayStation 4; Mar 10, 2017 - Xbox One; Mar 10, 2017 - PC (Microsoft Windows)";Bigben Interactive;Gloomywood;;Adventure, Indie;Single player;Action, Horror, Stealth;;;;Bird view / Isometric
38;300-march-to-glory;Mar 27, 2007 - PlayStation Portable;;;;Adventure;;Action;;;;
39;39-days-to-mars;"Apr 25, 2018 - Mac; Apr 25, 2018 - Linux; Apr 25, 2018 - PC (Microsoft Windows); Feb 06, 2019 - Xbox One; May 16, 2019 - Nintendo Switch";It's Anecdotal;It's Anecdotal;;Adventure, Indie, Puzzle;Co-operative, Multiplayer, Single player;Action;PC (Microsoft Windows): Offline Co-op max players: 2, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ;;;Side view
40;3d-after-burner-ii;Jan 15, 2015 - Nintendo 3DS;;;;;;;;;;
41;3d-classics-kid-icarus;Jan 05, 2012 - Nintendo 3DS;Nintendo;Nintendo R&D1;Arika Co., Ltd.;Platform;Single player;;;;Kid Icarus;Side view
42;3d-classics-twinbee;Aug 10, 2011 - Nintendo 3DS;Nintendo;;;;;;;;;
43;3d-classics-urban-champion;Jul 13, 2011 - Nintendo 3DS;Nintendo;;;;;;;;;
44;3d-classics-xevious;Jun 07, 2011 - Nintendo 3DS;Nintendo;;;;;;;;;
45;3d-dot-game-heroes;Nov 05, 2009 - PlayStation 3;FromSoftware, Atlus, SouthPeak Interactive;Silicon Studio;;Adventure, Role-playing (RPG);Single player;Action;;;;Bird view / Isometric, Third person
46;3d-fantasy-zone-ii-w;;;;;;;;;;;
47;3d-gunstar-heroes;Aug 20, 2015 - Nintendo 3DS;;;;;;;;;;
48;3d-out-run;Mar 12, 2015 - Nintendo 3DS;;;;;;;;;;
49;3d-sonic-the-hedgehog-2;Jul 21, 2015 - Nintendo 3DS;;;;Platform;Multiplayer, Single player;;;;Sonic the Hedgehog;
50;3d-streets-of-rage-ii;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
51;3d-thunder-blade;May 14, 2015 - Nintendo 3DS;;;;;;;;;;
52;3d-ultra-minigolf-adventures;"Dec 20, 2006 - PC (Microsoft Windows); Apr 18, 2007 - Xbox Live Arcade";Sierra Online;Wanako Studios Ltd.;;Sport;Multiplayer, Single player, Split screen;Kids;;;;Third person
53;3-on-3-nhl-arcade;"Feb 05, 2009 - PlayStation Network; Feb 05, 2009 - PlayStation 3; Feb 11, 2009 - Xbox Live Arcade";EA Sports;;;Sport;Multiplayer, Single player;;;;National Hockey League;Bird view / Isometric
54;428-shibuya-scramble;"Dec 04, 2008 - Wii; Sep 03, 2009 - PlayStation 3; Sep 17, 2009 - PlayStation Portable; Nov 03, 2011 - Android; Nov 03, 2011 - iOS; Sep 04, 2018 - PlayStation 4; Sep 04, 2018 - PC (Microsoft Windows)";Sega, Spike, Spike Chunsoft, Inc.;Chunsoft;Abstraction Games;Adventure, Visual Novel;Single player;Drama, Mystery;;;;Text
55;4pm;Jul 09, 2014 - PC (Microsoft Windows);4PM GAME;Bojan Brbora;;Indie;Single player;Action, Drama;;;;First person
56;4x4-evo-2;"Oct 30, 2001 - PC (Microsoft Windows); Nov 15, 2001 - Xbox; Sep 09, 2002 - Nintendo GameCube; Apr 11, 2003 - PlayStation 2";Gathering of Developers;Terminal Reality;;Racing, Simulator, Sport;Single player, Split screen;;;;4x4 Evolution;Third person
57;4x4-evolution;"Oct 29, 2000 - PC (Microsoft Windows); Oct 30, 2000 - Mac; Oct 30, 2000 - Dreamcast; Feb 26, 2001 - PlayStation 2";Gathering of Developers;Terminal Reality;;Racing;Multiplayer, Single player;;;;4x4 Evolution;Third person
58;50-cent-blood-on-the-sand;"Feb 20, 2009 - PlayStation 3; Feb 20, 2009 - Xbox 360";Bethesda Softworks, THQ;Swordfish Studios;;Shooter;Co-operative, Multiplayer, Single player;Action;;;50 Cent;Third person
59;50-cent-bulletproof;"Nov 17, 2005 - PlayStation 2; Nov 17, 2005 - Xbox; Nov 17, 2005 - PlayStation Portable";Sierra Entertainment, Vivendi Games;Genuine Games, Interscope, High Voltage Software;;Shooter;Multiplayer, Single player;Action;;;50 Cent;Third person
60;50-cent-bulletproof-g-unit-edition;Sep 29, 2006 - PlayStation Portable;;;;Shooter;;Action;;;;
61;60-parsecs;Sep 18, 2018 - PC (Microsoft Windows);Robot Gentleman Studios;Robot Gentleman Studios;;Adventure, Indie, Point-and-click, Role-playing (RPG), Simulator, Strategy;Single player;Comedy, Science fiction, Survival;;Unity 2017;;Third person
62;7-days-to-die;"Dec 13, 2013 - Mac; Dec 13, 2013 - PC (Microsoft Windows); Jun 28, 2016 - PlayStation 4; Jun 28, 2016 - Xbox One";The Fun Pimps Entertainment LLC, Telltale Games;The Fun Pimps Entertainment LLC, Iron Galaxy Studios;;Adventure, Indie, Role-playing (RPG), Shooter, Simulator, Strategy;Co-operative, Multiplayer, Single player, Split screen;Action, Horror, Sandbox, Survival;"Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 4, Offline max players: 2, Offline Co-op , Online Co-op  yes, LAN Co-op  yes, Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ; PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 100, Online max players: 100, Offline max players: , Offline Co-op , Online Co-op  yes, LAN Co-op  yes, Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out  yes";Unity;;First person, Third person, Virtual Reality
63;7th-dragon-iii-code-vfd;Oct 15, 2015 - Nintendo 3DS;Sega Games, SEGA of America, Sega;Sega;;Adventure, Role-playing (RPG);Single player;Fantasy, Science fiction;;;7th Dragon;Third person
64;7-wonders-of-the-ancient-world;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
65;80-day;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
66;80-days;"Jul 31, 2014 - iOS; Dec 05, 2014 - Android; Sep 28, 2015 - Mac; Sep 28, 2015 - PC (Microsoft Windows); Oct 01, 2019 - Nintendo Switch";inkle;Cape Guy, inkle;;Adventure, Indie, Point-and-click, Role-playing (RPG), Strategy;Single player;Educational, Fantasy, Historical;;;;Text
67;88-heroes;"Mar 24, 2017 - Mac; Mar 24, 2017 - PlayStation 4; Mar 24, 2017 - Xbox One; Mar 24, 2017 - Linux; Mar 24, 2017 - PC (Microsoft Windows); Oct 10, 2017 - Nintendo Switch";Rising Star Games;Bitmap Bureau Ltd.;;Indie, Platform;Single player;Action, Science fiction;;;;Side view
68;88-heroes-98-heroes-edition;Oct 12, 2017 - Nintendo Switch;Rising Star Games;;;Arcade, Indie, Platform;Single player;Action, Science fiction;;;;
69;8-bit-adventure-anthology-volume-one;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
70;8-bit-armies;"Apr 22, 2016 - PC (Microsoft Windows); Jul 18, 2017 - PlayStation 4; Sep 21, 2018 - Xbox One";SOEDESCO Publishing, Petroglyph Games;Petroglyph Games;;Indie, Real Time Strategy (RTS), Simulator, Strategy;Co-operative, Multiplayer, Single player;Action, Warfare;"PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ; All platforms: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ";;8-Bit;Bird view / Isometric
71;8-bit-hordes;"Aug 12, 2016 - PC (Microsoft Windows); Feb 01, 2019 - PlayStation 4; Feb 01, 2019 - Xbox One";Petroglyph Games;Petroglyph Games;;Indie, Real Time Strategy (RTS), Simulator, Strategy;Co-operative, Multiplayer, Single player;Fantasy, Historical;PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;8-Bit;Bird view / Isometric
72;911-operator;"Feb 24, 2017 - Mac; Feb 24, 2017 - Linux; Feb 24, 2017 - PC (Microsoft Windows); Nov 10, 2017 - iOS; Oct 26, 2018 - Nintendo Switch";PlayWay S.A., SONKA;Jutsu Games;SONKA;Indie, Simulator, Strategy;Single player;;;;;Bird view / Isometric
73;99bullets;May 23, 2011 - Nintendo DSi;EnjoyUp Games;;;;;;;;;
74;99vidas;"Dec 25, 2016 - PC (Microsoft Windows); Jul 18, 2017 - PlayStation Network; Jul 18, 2017 - PlayStation 3; Jul 18, 2017 - PlayStation Vita; Jul 18, 2017 - PlayStation 4; Nov 03, 2017 - Xbox One";QUByte Interactive;QUByte Interactive;;Arcade, Fighting, Hack and slash/Beat 'em up, Indie;Co-operative, Multiplayer, Single player;Action, Comedy;"PC (Microsoft Windows): Offline Co-op max players: 4, Online Co-op max players: 4, Online max players: 4, Offline max players: 4, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ; PlayStation 4: Offline Co-op max players: 4, Online Co-op max players: 4, Online max players: 4, Offline max players: 4, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ; Offline Co-op max players: 4, Online Co-op max players: 4, Online max players: 4, Offline max players: 4, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ";Unity;;Side view
75;aaaaaaaaaaaaaaaaaaaaaaaaa-a-reckless-disregard-for-gravity;Sep 03, 2009 - PC (Microsoft Windows);Dejobaan Games, LLC;Dejobaan Games, LLC;;Indie, Simulator, Sport;Single player;Action, Comedy, Fantasy, Historical, Science fiction;;;AaaaaAAaaaAAAaaAAAAaAAAAA!!!;First person
76;aaero;"Apr 11, 2017 - PlayStation Network; Apr 11, 2017 - PlayStation 4; Apr 11, 2017 - Xbox One; Apr 11, 2017 - PC (Microsoft Windows)";Reverb Triple XP;Mad Fellows;;Indie, Music, Shooter;Single player;Action, Science fiction;;;;Auditory, Third person
77;aaero-complete-edition;Dec 24, 2018 - Nintendo Switch;;;;;;;;;;
78;aarklash-legacy;Sep 12, 2013 - PC (Microsoft Windows);Cyanide Studio;Cyanide Studio;;Adventure, Role-playing (RPG), Strategy, Tactical;Single player;Action, Fantasy;;;;Bird view / Isometric
79;a-bird-story;"Nov 07, 2014 - Mac; Nov 07, 2014 - Linux; Nov 07, 2014 - PC (Microsoft Windows)";Freebird Games;Freebird Games;;Adventure, Indie, Role-playing (RPG);Single player;Fantasy;;;To the Moon;Bird view / Isometric
80;a-boy-and-his-blob;Dec 01, 1989 - Nintendo Entertainment System (NES);Absolute Entertainment;Imagineer;;Adventure, Platform, Puzzle;Single player;Kids;;;A Boy and His Blob;Side view
81;absolver;"Aug 29, 2017 - PlayStation 4; Aug 29, 2017 - PC (Microsoft Windows)";Devolver Digital;Sloclap;;Adventure, Fighting, Indie, Role-playing (RPG);Co-operative, Multiplayer, Single player;Action;PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 3, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;Unreal Engine;;Third person
82;abyss;"Dec 31, 1984 - ZX Spectrum; Dec 31, 1984 - BBC Microcomputer System";Cases Computer Simulations;Cases Computer Simulations;;Adventure;Single player;;;;;
83;abyss-odyssey;"Jul 15, 2014 - Xbox Live Arcade; Jul 15, 2014 - PlayStation 3; Jul 15, 2014 - PC (Microsoft Windows); Jul 28, 2015 - PlayStation 4";Atlus;ACE Team;;Adventure, Indie, Platform;Co-operative, Multiplayer, Single player;Action, Fantasy;PlayStation 3: Offline Co-op max players: 2, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;;;Side view
84;abyss-odyssey-extended-dream-edition;Jul 28, 2015 - PlayStation Network;Atlus;;;Adventure;;Action;;;;
85;abzu;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again
86;academy-of-champions-soccer;Nov 03, 2009 - Wii;Ubisoft Entertainment;Ubisoft Vancouver;;Sport;Single player;;;;;
87;aca-neogeo-metal-slug-3;"Mar 09, 2017 - Nintendo Switch; Dec 21, 2017 - PlayStation 4; Dec 21, 2017 - Xbox One";HAMSTER, Co.;HAMSTER, Co.;;Shooter;Co-operative, Multiplayer;Action;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 2, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;ACA NEOGEO;
88;aca-neogeo-shock-troopers;"Mar 09, 2017 - Nintendo Switch; Jan 25, 2018 - PlayStation 4; Jan 25, 2018 - Xbox One";HAMSTER, Co.;SNK, HAMSTER, Co.;;Arcade, Shooter;Co-operative, Multiplayer, Single player;Action, Warfare;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 2, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;ACA NEOGEO;Bird view / Isometric
89;a-case-of-distrust;"Feb 08, 2018 - Mac; Feb 08, 2018 - PC (Microsoft Windows); Sep 20, 2018 - Nintendo Switch";Serenity Forge;The Wandering Ben;;Adventure, Indie, Point-and-click;Single player;Drama, Historical, Mystery;;;;Side view
90;acceleration-of-suguri-x-edition;Feb 15, 2011 - PlayStation 3;;;;;;Action;;;;
91;ace-attorney-investigations-miles-edgeworth;"May 28, 2009 - Nintendo DS; Dec 08, 2017 - Android; Dec 08, 2017 - iOS";Capcom;Capcom;;Adventure, Point-and-click, Simulator;Single player;Comedy;;;Ace Attorney;Side view, Third person
92;ace-banana;Oct 13, 2016 - PlayStation 4;;;;Adventure, Shooter;;;;;;First person
93;ace-combat-04-shattered-skies;Sep 13, 2001 - PlayStation 2;Namco;Namco;;Arcade, Simulator;Multiplayer, Single player;Action, Warfare;;;Ace Combat;First person, Third person
94;ace-combat-2;May 30, 1997 - PlayStation;Namco, Sony Computer Entertainment Europe;Namco;;Shooter, Simulator;Single player;Action, Warfare;;;Ace Combat;First person, Third person
95;ace-combat-5-the-unsung-war;"Oct 21, 2004 - PlayStation 2; Jan 18, 2019 - PlayStation 4";Namco, (Archive) SCEE - duplicate, Sony Computer Entertainment Korea;Namco;;Simulator;Single player;Action, Warfare;;;Ace Combat;First person, Third person
96;ace-combat-6-fires-of-liberation;Oct 23, 2007 - Xbox 360;Bandai Namco Entertainment;Project Aces;;Arcade, Simulator;Multiplayer, Single player;Action, Fantasy, Historical, Warfare;Xbox 360: Offline Co-op max players: 0, Online Co-op max players: 4, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;Ace Combat;Third person
97;ace-combat-7-skies-unknown;"Jan 18, 2019 - PlayStation 4; Jan 18, 2019 - Xbox One; Feb 01, 2019 - PC (Microsoft Windows)";Bandai Namco Entertainment;Project Aces;;Simulator;Multiplayer, Single player;Action, Warfare;;Unreal Engine;Ace Combat;First person, Third person, Virtual Reality
