id;title;release_dates;publisher;dev;support_dev;genres;game_modes;themes;mult_modes;game_eng;series;perspective;crit_score;user_score
56;50-cent-bulletproof;"Nov 17, 2005 - PlayStation 2; Nov 17, 2005 - Xbox; Nov 17, 2005 - PlayStation Portable";Sierra Entertainment, Vivendi Games;Genuine Games, Interscope, High Voltage Software;;Shooter;Multiplayer, Single player;Action;;;50 Cent;Third person;50;5,7
57;50-cent-bulletproof-g-unit-edition;Sep 29, 2006 - PlayStation Portable;;;;Shooter;;Action;;;;;52;4,5
58;60-parsecs;Sep 18, 2018 - PC (Microsoft Windows);Robot Gentleman Studios;Robot Gentleman Studios;;Adventure, Indie, Point-and-click, Role-playing (RPG), Simulator, Strategy;Single player;Comedy, Science fiction, Survival;;Unity 2017;;Third person;70;6,5
59;7554-glorious-memories-revived;Dec 16, 2011 - PC (Microsoft Windows);;;;Shooter;Co-operative, Single player;Action, Historical;;;;First person;41;4,6
60;7-days-to-die;"Dec 13, 2013 - Mac; Dec 13, 2013 - PC (Microsoft Windows); Jun 28, 2016 - PlayStation 4; Jun 28, 2016 - Xbox One";The Fun Pimps Entertainment LLC, Telltale Games;The Fun Pimps Entertainment LLC, Iron Galaxy Studios;;Adventure, Indie, Role-playing (RPG), Shooter, Simulator, Strategy;Co-operative, Multiplayer, Single player, Split screen;Action, Horror, Sandbox, Survival;"Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 4, Offline max players: 2, Offline Co-op , Online Co-op  yes, LAN Co-op  yes, Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ; PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 100, Online max players: 100, Offline max players: , Offline Co-op , Online Co-op  yes, LAN Co-op  yes, Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out  yes";Unity;;First person, Third person, Virtual Reality;45;5,8
61;7th-dragon-iii-code-vfd;Oct 15, 2015 - Nintendo 3DS;Sega Games, SEGA of America, Sega;Sega;;Adventure, Role-playing (RPG);Single player;Fantasy, Science fiction;;;7th Dragon;Third person;76;7,8
62;7-wonders-of-the-ancient-world;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;60;8,3
63;80-day;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;84;7,3
64;80-days;"Jul 31, 2014 - iOS; Dec 05, 2014 - Android; Sep 28, 2015 - Mac; Sep 28, 2015 - PC (Microsoft Windows); Oct 01, 2019 - Nintendo Switch";inkle;Cape Guy, inkle;;Adventure, Indie, Point-and-click, Role-playing (RPG), Strategy;Single player;Educational, Fantasy, Historical;;;;Text;84;7,9
65;88-heroes;"Mar 24, 2017 - Mac; Mar 24, 2017 - PlayStation 4; Mar 24, 2017 - Xbox One; Mar 24, 2017 - Linux; Mar 24, 2017 - PC (Microsoft Windows); Oct 10, 2017 - Nintendo Switch";Rising Star Games;Bitmap Bureau Ltd.;;Indie, Platform;Single player;Action, Science fiction;;;;Side view;72;5,8
66;88-heroes-98-heroes-edition;Oct 12, 2017 - Nintendo Switch;Rising Star Games;;;Arcade, Indie, Platform;Single player;Action, Science fiction;;;;;65;6,4
67;8-bit-adventure-anthology-volume-one;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;71;tbd
68;8-bit-armies;"Apr 22, 2016 - PC (Microsoft Windows); Jul 18, 2017 - PlayStation 4; Sep 21, 2018 - Xbox One";SOEDESCO Publishing, Petroglyph Games;Petroglyph Games;;Indie, Real Time Strategy (RTS), Simulator, Strategy;Co-operative, Multiplayer, Single player;Action, Warfare;"PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ; All platforms: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ";;8-Bit;Bird view / Isometric;69;7,2
69;8-bit-hordes;"Aug 12, 2016 - PC (Microsoft Windows); Feb 01, 2019 - PlayStation 4; Feb 01, 2019 - Xbox One";Petroglyph Games;Petroglyph Games;;Indie, Real Time Strategy (RTS), Simulator, Strategy;Co-operative, Multiplayer, Single player;Fantasy, Historical;PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;8-Bit;Bird view / Isometric;63;3
70;911-operator;"Feb 24, 2017 - Mac; Feb 24, 2017 - Linux; Feb 24, 2017 - PC (Microsoft Windows); Nov 10, 2017 - iOS; Oct 26, 2018 - Nintendo Switch";PlayWay S.A., SONKA;Jutsu Games;SONKA;Indie, Simulator, Strategy;Single player;;;;;Bird view / Isometric;68;7,3
71;99bullets;May 23, 2011 - Nintendo DSi;EnjoyUp Games;;;;;;;;;;74;tbd
72;99vidas;"Dec 25, 2016 - PC (Microsoft Windows); Jul 18, 2017 - PlayStation Network; Jul 18, 2017 - PlayStation 3; Jul 18, 2017 - PlayStation Vita; Jul 18, 2017 - PlayStation 4; Nov 03, 2017 - Xbox One";QUByte Interactive;QUByte Interactive;;Arcade, Fighting, Hack and slash/Beat 'em up, Indie;Co-operative, Multiplayer, Single player;Action, Comedy;"PC (Microsoft Windows): Offline Co-op max players: 4, Online Co-op max players: 4, Online max players: 4, Offline max players: 4, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ; PlayStation 4: Offline Co-op max players: 4, Online Co-op max players: 4, Online max players: 4, Offline max players: 4, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ; Offline Co-op max players: 4, Online Co-op max players: 4, Online max players: 4, Offline max players: 4, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out ";Unity;;Side view;61;6,5
73;aaaaaaaaaaaaaaaaaaaaaaaaa-a-reckless-disregard-for-gravity;Sep 03, 2009 - PC (Microsoft Windows);Dejobaan Games, LLC;Dejobaan Games, LLC;;Indie, Simulator, Sport;Single player;Action, Comedy, Fantasy, Historical, Science fiction;;;AaaaaAAaaaAAAaaAAAAaAAAAA!!!;First person;81;7,2
74;aaero;"Apr 11, 2017 - PlayStation Network; Apr 11, 2017 - PlayStation 4; Apr 11, 2017 - Xbox One; Apr 11, 2017 - PC (Microsoft Windows)";Reverb Triple XP;Mad Fellows;;Indie, Music, Shooter;Single player;Action, Science fiction;;;;Auditory, Third person;80;6,5
75;aaero-complete-edition;Dec 24, 2018 - Nintendo Switch;;;;;;;;;;;80;8
76;aarklash-legacy;Sep 12, 2013 - PC (Microsoft Windows);Cyanide Studio;Cyanide Studio;;Adventure, Role-playing (RPG), Strategy, Tactical;Single player;Action, Fantasy;;;;Bird view / Isometric;72;7,7
77;a-bird-story;"Nov 07, 2014 - Mac; Nov 07, 2014 - Linux; Nov 07, 2014 - PC (Microsoft Windows)";Freebird Games;Freebird Games;;Adventure, Indie, Role-playing (RPG);Single player;Fantasy;;;To the Moon;Bird view / Isometric;66;6,9
78;a-boy-and-his-blob;Dec 01, 1989 - Nintendo Entertainment System (NES);Absolute Entertainment;Imagineer;;Adventure, Platform, Puzzle;Single player;Kids;;;A Boy and His Blob;Side view;80;8,4
79;absolver;"Aug 29, 2017 - PlayStation 4; Aug 29, 2017 - PC (Microsoft Windows)";Devolver Digital;Sloclap;;Adventure, Fighting, Indie, Role-playing (RPG);Co-operative, Multiplayer, Single player;Action;PC (Microsoft Windows): Offline Co-op max players: 0, Online Co-op max players: 3, Online max players: 0, Offline max players: 0, Offline Co-op , Online Co-op  yes, LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;Unreal Engine;;Third person;75;5,9
80;abyss;"Dec 31, 1984 - ZX Spectrum; Dec 31, 1984 - BBC Microcomputer System";Cases Computer Simulations;Cases Computer Simulations;;Adventure;Single player;;;;;;59;5,3
81;abyss-odyssey;"Jul 15, 2014 - Xbox Live Arcade; Jul 15, 2014 - PlayStation 3; Jul 15, 2014 - PC (Microsoft Windows); Jul 28, 2015 - PlayStation 4";Atlus;ACE Team;;Adventure, Indie, Platform;Co-operative, Multiplayer, Single player;Action, Fantasy;PlayStation 3: Offline Co-op max players: 2, Online Co-op max players: 2, Online max players: 0, Offline max players: 0, Offline Co-op  yes, Online Co-op  yes, LAN Co-op , Co-op Campaign  yes, Online Split-Screen , Offline Split-Screen , Drop in/out  yes;;;Side view;70;6,2
82;abyss-odyssey-extended-dream-edition;Jul 28, 2015 - PlayStation Network;Atlus;;;Adventure;;Action;;;;;65;5,4
83;abzu;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;Try Again;83;6,8
84;academy-of-champions-soccer;Nov 03, 2009 - Wii;Ubisoft Entertainment;Ubisoft Vancouver;;Sport;Single player;;;;;;64;6,8
85;aca-neogeo-metal-slug-3;"Mar 09, 2017 - Nintendo Switch; Dec 21, 2017 - PlayStation 4; Dec 21, 2017 - Xbox One";HAMSTER, Co.;HAMSTER, Co.;;Shooter;Co-operative, Multiplayer;Action;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 2, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;ACA NEOGEO;;76;7,6
86;aca-neogeo-shock-troopers;"Mar 09, 2017 - Nintendo Switch; Jan 25, 2018 - PlayStation 4; Jan 25, 2018 - Xbox One";HAMSTER, Co.;SNK, HAMSTER, Co.;;Arcade, Shooter;Co-operative, Multiplayer, Single player;Action, Warfare;Xbox One: Offline Co-op max players: 0, Online Co-op max players: 0, Online max players: 0, Offline max players: 2, Offline Co-op  yes, Online Co-op , LAN Co-op , Co-op Campaign , Online Split-Screen , Offline Split-Screen , Drop in/out ;;ACA NEOGEO;Bird view / Isometric;70;6,8
87;a-case-of-distrust;"Feb 08, 2018 - Mac; Feb 08, 2018 - PC (Microsoft Windows); Sep 20, 2018 - Nintendo Switch";Serenity Forge;The Wandering Ben;;Adventure, Indie, Point-and-click;Single player;Drama, Historical, Mystery;;;;Side view;77;5,6
88;acceleration-of-suguri-x-edition;Feb 15, 2011 - PlayStation 3;;;;;;Action;;;;;61;5,5
89;ace-attorney-investigations-miles-edgeworth;"May 28, 2009 - Nintendo DS; Dec 08, 2017 - Android; Dec 08, 2017 - iOS";Capcom;Capcom;;Adventure, Point-and-click, Simulator;Single player;Comedy;;;Ace Attorney;Side view, Third person;78;8,3
90;ace-banana;Oct 13, 2016 - PlayStation 4;;;;Adventure, Shooter;;;;;;First person;40;4,3
91;ace-combat-04-shattered-skies;Sep 13, 2001 - PlayStation 2;Namco;Namco;;Arcade, Simulator;Multiplayer, Single player;Action, Warfare;;;Ace Combat;First person, Third person;89;8,7
92;ace-combat-2;May 30, 1997 - PlayStation;Namco, Sony Computer Entertainment Europe;Namco;;Shooter, Simulator;Single player;Action, Warfare;;;Ace Combat;First person, Third person;83;8,7
93;ace-combat-5-the-unsung-war;"Oct 21, 2004 - PlayStation 2; Jan 18, 2019 - PlayStation 4";Namco, (Archive) SCEE - duplicate, Sony Computer Entertainment Korea;Namco;;Simulator;Single player;Action, Warfare;;;Ace Combat;First person, Third person;84;8,9
